StandardAnalyte,StationName,SampleDate,SampleType,SourceType,AnalysisGroup,SampleMedia,StandardResult,StandardUnit,FinalQualifier,StandardDetLimit
"Antimony, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,2,ug/L,UJ,0.048
"Arsenic, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,0.48,ug/L,J,0.045
"Barium, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,13.2,ug/L,J,0.23
"Beryllium, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,0.54,ug/L,J,0.044
"Cadmium, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1.7,ug/L,J,0.026
"Calcium, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,33800,ug/L,J,7.8
"Chromium, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,0.05,ug/L,UJ,0.043
"Cobalt, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,0.58,ug/L,J,0.039
"Copper, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,16.2,ug/L,J,0.3
"Iron, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,90.6,ug/L,J,2.1
"Lead, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,2.8,ug/L,J,0.046
"Magnesium, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,2910,ug/L,J,4
"Manganese, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1210,ug/L,J,0.092
"Nickel, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1.7,ug/L,J,0.17
"Potassium, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,500,ug/L,J,21.2
"Selenium, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,5,ug/L,UJ,0.88
"Silver, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1,ug/L,UJ,0.017
"Sodium, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1010,ug/L,J,11.3
"Thallium, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1,ug/L,UJ,0.037
"Vanadium, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,0.29,ug/L,J,0.03
"Zinc, total",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,432,ug/L,J,0.15
"Aluminum, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,80.4,ug/L,J,2.8
"Antimony, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,2,ug/L,UJ,0.048
"Arsenic, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,0.16,ug/L,J,0.045
"Barium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,13,ug/L,J,0.23
"Beryllium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,0.12,ug/L,J,0.044
"Cadmium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1.6,ug/L,J,0.026
"Calcium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,32800,ug/L,J,416
"Calcium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,34600,ug/L,J,7.8
"Chromium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,2,ug/L,UJ,0.043
"Cobalt, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,0.51,ug/L,J,0.039
"Copper, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,4.9,ug/L,J+,0.3
"Hardness as CaCO3, D",FE-ET-FP04,8/4/15,Primary,S,General Chemistry,SW,91800,ug/L,J,2600
"Iron, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,11.1,ug/L,J,2.1
"Lead, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1,ug/L,UJ,0.046
"Magnesium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,2400,ug/L,J,378
"Magnesium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,3020,ug/L,J,4
"Manganese, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1220,ug/L,J,0.092
"Nickel, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1.9,ug/L,J,0.17
"Potassium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,443,ug/L,J,21.2
"Selenium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,5,ug/L,UJ,0.88
"Silver, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1,ug/L,UJ,0.017
"Sodium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1030,ug/L,J,11.3
"Thallium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,1,ug/L,UJ,0.037
"Vanadium, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,0.12,ug/L,J,0.03
"Zinc, dissolved",FE-ET-FP04,8/4/15,Primary,S,Metals,SW,402,ug/L,J+,0.15
"Aluminum, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,70,ug/L,2,30
"Aluminum, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,490,ug/L,2,30
"Antimony, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.7,ug/L,U,0.4
"Antimony, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.4,ug/L,2,0.2
"Barium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,12.8,ug/L,2,0.5
"Barium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,12.4,ug/L,2,0.5
"Beryllium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1.6,ug/L,2,0.1
"Cadmium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1.6,ug/L,2,0.1
"Calcium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,34400,ug/L,2,100
"Calcium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,34500,ug/L,2,100
DOC,FE-ET-FP05,8/4/15,Primary,S,General Chemistry,SW,1000,ug/L,U,1000
Cation-Anion Balance,FE-ET-FP05,8/4/15,Primary,S,General Chemistry,SW,-2.3,%,2,-9999
"Chromium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,10,ug/L,U,10
"Chromium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cobalt, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.79,ug/L,2,0.05
"Cobalt, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.51,ug/L,2,0.05
"Copper, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,3.8,ug/L,2,0.5
"Copper, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,13.8,ug/L,2,0.5
"Hardness as CaCO3, D",FE-ET-FP05,8/4/15,Primary,S,General Chemistry,SW,98000,ug/L,2,800
"Iron, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,110,ug/L,J+,20
"Lead, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.2,ug/L,U,0.1
"Lead, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,2.8,ug/L,J+,0.1
"Lithium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,8,ug/L,U,8
"Magnesium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,2900,ug/L,2,200
"Magnesium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,2800,ug/L,2,200
"Manganese, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1110,ug/L,2,5
"Manganese, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1100,ug/L,2,5
"Molybdenum, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.6,ug/L,2,0.5
"Molybdenum, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.5,ug/L,2,0.5
"Nickel, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1.2,ug/L,2,0.6
"Nickel, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1.2,ug/L,2,0.6
"Potassium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,600,ug/L,2,200
"Potassium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,500,ug/L,2,200
"TDS, measured",FE-ET-FP05,8/4/15,Primary,S,Physical,SW,140000,ug/L,2,10000
TSS,FE-ET-FP05,8/4/15,Primary,S,Physical,SW,5000,ug/L,U,5000
"Selenium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Selenium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Silica, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,4400,ug/L,2,200
"Silica, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,4600,ug/L,J-,200
"Silver, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Silver, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Sodium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1000,ug/L,2,200
"Sodium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,900,ug/L,2,200
"Strontium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,250,ug/L,2,5
"Strontium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,251,ug/L,2,5
Sum of Anions,FE-ET-FP05,8/4/15,Primary,S,General Chemistry,SW,2.2,meq/L,2,-9999
Sum of Cations,FE-ET-FP05,8/4/15,Primary,S,General Chemistry,SW,2.1,meq/L,2,-9999
"Thallium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Thallium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-ET-FP05,8/4/15,Primary,S,General Chemistry,SW,20100,ug/L,2,2000
"Vanadium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Vanadium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Zinc, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,340,ug/L,2,10
"Zinc, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,380,ug/L,2,10
ORP,FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,223.4,mV,1,-9999
ORP,FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,227,mV,1,-9999
"Oxygen, Dissolved",FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,7580,ug/L,1,-9999
"Oxygen, Dissolved",FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,8410,ug/L,1,-9999
pH,FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,7.38,SU,1,-9999
pH,FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,7.66,SU,1,-9999
pH,FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,7.67,SU,1,-9999
Specific Conductance,FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,223.6,uS/cm,1,-9999
Specific Conductance,FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,233,uS/cm,1,-9999
Specific Conductance,FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,328,uS/cm,1,-9999
Temperature,FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,12.1,C,1,-9999
Temperature,FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,12.4,C,1,-9999
Temperature,FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,12.48,C,1,-9999
Turbidity,FE-ET-FP05,8/4/15,Field Measurement,S,Physical,SW,3.8,NTU,1,-9999
"Aluminum, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,452,ug/L,UJ,2.8
"Antimony, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,2,ug/L,UJ,0.048
"Arsenic, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.38,ug/L,J,0.045
"Barium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,13,ug/L,J,0.23
"Beryllium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.57,ug/L,J,0.044
"Cadmium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1.6,ug/L,J,0.026
"Calcium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,33000,ug/L,J,7.8
"Chromium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,2,ug/L,UJ,0.043
"Cobalt, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.49,ug/L,J,0.039
"Copper, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,15.5,ug/L,J,0.3
"Iron, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,90,ug/L,J,2.1
"Lead, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,2.7,ug/L,J,0.046
"Magnesium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,2850,ug/L,J,4
"Manganese, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1170,ug/L,J,0.092
"Nickel, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1.4,ug/L,J,0.17
"Potassium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,500,ug/L,UJ,21.2
"Selenium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,5,ug/L,UJ,0.88
"Silver, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1,ug/L,UJ,0.017
"Sodium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,982,ug/L,J,11.3
"Thallium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1,ug/L,UJ,0.037
"Vanadium, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.05,ug/L,J,0.03
"Zinc, total",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,398,ug/L,J,0.15
"Aluminum, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,77.9,ug/L,UJ,2.8
"Antimony, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,2,ug/L,UJ,0.048
"Arsenic, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.16,ug/L,J,0.045
"Barium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,13.2,ug/L,J,0.23
"Beryllium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.12,ug/L,J,0.044
"Cadmium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1.6,ug/L,J,0.026
"Calcium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,32400,ug/L,J,416
"Calcium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,33600,ug/L,J,7.8
"Chromium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,2,ug/L,UJ,0.043
"Cobalt, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,0.47,ug/L,J,0.039
"Copper, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,4.3,ug/L,J+,0.3
"Hardness as CaCO3, D",FE-ET-FP05,8/4/15,Primary,S,General Chemistry,SW,91000,ug/L,J,2600
"Iron, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,6.1,ug/L,J,2.1
"Lead, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1,ug/L,UJ,0.046
"Magnesium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,2460,ug/L,J,378
"Magnesium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,2840,ug/L,J,4
"Manganese, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1150,ug/L,J,0.092
"Nickel, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1.4,ug/L,J,0.17
"Potassium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,500,ug/L,UJ,21.2
"Selenium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,5,ug/L,UJ,0.88
"Silver, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1,ug/L,UJ,0.017
"Sodium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,961,ug/L,J,11.3
"Thallium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,1,ug/L,UJ,0.037
"Vanadium, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,5,ug/L,UJ,0.03
"Zinc, dissolved",FE-ET-FP05,8/4/15,Primary,S,Metals,SW,357,ug/L,J+,0.15
"Aluminum, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,70,ug/L,2,30
"Aluminum, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,500,ug/L,2,30
"Antimony, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.6,ug/L,U,0.4
"Antimony, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.4,ug/L,2,0.2
"Barium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,12.7,ug/L,2,0.5
"Barium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,12.7,ug/L,2,0.5
"Beryllium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1.5,ug/L,2,0.1
"Cadmium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1.7,ug/L,2,0.1
"Calcium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,34700,ug/L,2,100
"Calcium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,34400,ug/L,2,100
DOC,FE-ET-FP06,8/4/15,Primary,S,General Chemistry,SW,1000,ug/L,U,1000
Cation-Anion Balance,FE-ET-FP06,8/4/15,Primary,S,General Chemistry,SW,0,%,2,-9999
"Chromium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,10,ug/L,U,10
"Chromium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cobalt, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.85,ug/L,J,0.05
"Cobalt, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.52,ug/L,J,0.05
"Copper, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,4.2,ug/L,2,0.5
"Copper, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,13.8,ug/L,2,0.5
"Hardness as CaCO3, D",FE-ET-FP06,8/4/15,Primary,S,General Chemistry,SW,99000,ug/L,2,800
"Iron, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,70,ug/L,2,20
"Iron, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,120,ug/L,J+,20
"Lead, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.2,ug/L,U,0.1
"Lead, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,3.2,ug/L,2,0.1
"Lithium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,8,ug/L,2,8
"Magnesium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,2900,ug/L,2,200
"Magnesium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,2800,ug/L,2,200
"Manganese, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1130,ug/L,2,5
"Manganese, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1110,ug/L,2,5
"Molybdenum, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.6,ug/L,2,0.5
"Molybdenum, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.5,ug/L,2,0.5
"Nickel, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1.3,ug/L,2,0.6
"Nickel, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1.3,ug/L,2,0.6
"Potassium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,600,ug/L,2,200
"Potassium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,500,ug/L,2,200
"TDS, measured",FE-ET-FP06,8/4/15,Primary,S,Physical,SW,140000,ug/L,2,10000
TSS,FE-ET-FP06,8/4/15,Primary,S,Physical,SW,5000,ug/L,U,5000
"Selenium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Selenium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Silica, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,4500,ug/L,2,200
"Silica, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,4600,ug/L,J-,200
"Silver, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Silver, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Sodium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1200,ug/L,2,200
"Sodium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1000,ug/L,2,200
"Strontium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,252,ug/L,2,5
"Strontium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,250,ug/L,2,5
Sum of Anions,FE-ET-FP06,8/4/15,Primary,S,General Chemistry,SW,2.2,meq/L,2,-9999
Sum of Cations,FE-ET-FP06,8/4/15,Primary,S,General Chemistry,SW,2.2,meq/L,2,-9999
"Thallium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Thallium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-ET-FP06,8/4/15,Primary,S,General Chemistry,SW,20100,ug/L,2,2000
"Vanadium, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Vanadium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Zinc, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,340,ug/L,2,10
"Zinc, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,380,ug/L,2,10
ORP,FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,229.8,mV,1,-9999
ORP,FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,231.5,mV,1,-9999
"Oxygen, Dissolved",FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,7630,ug/L,1,-9999
"Oxygen, Dissolved",FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,7690,ug/L,1,-9999
"Oxygen, Dissolved",FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,8280,ug/L,1,-9999
pH,FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,7.49,SU,1,-9999
pH,FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,7.72,SU,1,-9999
Specific Conductance,FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,223.7,uS/cm,1,-9999
Specific Conductance,FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,328,uS/cm,1,-9999
Specific Conductance,FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,331,uS/cm,1,-9999
Temperature,FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,12.05,C,1,-9999
Temperature,FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,12.29,C,1,-9999
Temperature,FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,12.3,C,1,-9999
Turbidity,FE-ET-FP06,8/4/15,Field Measurement,S,Physical,SW,3.1,NTU,1,-9999
"Aluminum, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,460,ug/L,UJ,2.8
"Antimony, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,2,ug/L,UJ,0.048
"Arsenic, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.37,ug/L,J,0.045
"Barium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,13.4,ug/L,J,0.23
"Beryllium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.62,ug/L,J,0.044
"Cadmium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1.7,ug/L,J,0.026
"Calcium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,34200,ug/L,J,7.8
"Chromium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,2,ug/L,UJ,0.043
"Cobalt, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.48,ug/L,J,0.039
"Copper, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,15,ug/L,J,0.3
"Iron, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,83.8,ug/L,J,2.1
"Lead, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,2.9,ug/L,J,0.046
"Magnesium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,2860,ug/L,J,4
"Manganese, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1170,ug/L,J,0.092
"Nickel, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1.3,ug/L,J,0.17
"Potassium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,500,ug/L,UJ,21.2
"Selenium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,5,ug/L,UJ,0.88
"Silver, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1,ug/L,UJ,0.017
"Sodium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,976,ug/L,J,11.3
"Thallium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,1,ug/L,UJ,0.037
"Vanadium, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,0.04,ug/L,J,0.03
"Zinc, total",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,398,ug/L,J,0.15
"Aluminum, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,72.6,ug/L,UJ,2.8
"Antimony, dissolved",FE-ET-FP06,8/4/15,Primary,S,Metals,SW,2,ug/L,UJ,0.048
